created_at,model,source_script,source_task,input_tokens,output_tokens,cached_tokens,total_tokens,cost_usd,latency_ms,success,error_text
2026-04-20 20:19:52.574197+00,claude-haiku,normalize_listings.py,canonical_extract,3176,243,0,3419,0.004391,2616,t,""
2026-04-20 20:19:56.217123+00,claude-haiku,normalize_listings.py,canonical_extract,3017,237,0,3254,0.004202,2612,t,""
2026-04-20 20:19:59.84915+00,claude-haiku,normalize_listings.py,canonical_extract,3024,242,0,3266,0.004234,2594,t,""
2026-04-20 20:20:03.846554+00,claude-haiku,normalize_listings.py,canonical_extract,3154,240,0,3394,0.004354,2960,t,""
2026-04-20 20:20:07.158294+00,claude-haiku,normalize_listings.py,canonical_extract,2511,242,0,2753,0.003721,2275,t,""
2026-04-20 20:20:10.671054+00,claude-haiku,normalize_listings.py,canonical_extract,3175,236,0,3411,0.004355,2481,t,""
2026-04-20 20:20:14.309407+00,claude-haiku,normalize_listings.py,canonical_extract,3181,244,0,3425,0.004401,2602,t,""
2026-04-20 20:20:18.053529+00,claude-haiku,normalize_listings.py,canonical_extract,3162,242,0,3404,0.004372,2707,t,""
2026-04-20 20:20:21.449811+00,claude-haiku,normalize_listings.py,canonical_extract,3153,241,0,3394,0.004358,2368,t,""
2026-04-20 20:20:26.193607+00,claude-haiku,normalize_listings.py,canonical_extract,3165,240,0,3405,0.004365,3699,t,""
2026-04-20 20:20:29.706999+00,claude-haiku,normalize_listings.py,canonical_extract,3135,235,0,3370,0.004310,2485,t,""
2026-04-20 20:20:33.403823+00,claude-haiku,normalize_listings.py,canonical_extract,3146,238,0,3384,0.004336,2669,t,""
2026-04-20 20:20:36.887208+00,claude-haiku,normalize_listings.py,canonical_extract,3161,243,0,3404,0.004376,2451,t,""
2026-04-20 20:20:40.580968+00,claude-haiku,normalize_listings.py,canonical_extract,3158,241,0,3399,0.004363,2664,t,""
2026-04-20 20:20:43.960737+00,claude-haiku,normalize_listings.py,canonical_extract,3198,240,0,3438,0.004398,2351,t,""
2026-04-20 20:20:49.068575+00,claude-haiku,normalize_listings.py,canonical_extract,3155,248,0,3403,0.004395,4075,t,""
2026-04-20 20:20:52.484901+00,claude-haiku,normalize_listings.py,canonical_extract,3170,244,0,3414,0.004390,2377,t,""
2026-04-20 20:20:56.068314+00,claude-haiku,normalize_listings.py,canonical_extract,3162,245,0,3407,0.004387,2554,t,""
2026-04-20 20:20:59.711479+00,claude-haiku,normalize_listings.py,canonical_extract,3178,250,0,3428,0.004428,2614,t,""
2026-04-20 20:21:03.149358+00,claude-haiku,normalize_listings.py,canonical_extract,3172,242,0,3414,0.004382,2404,t,""
2026-04-20 20:21:06.827833+00,claude-haiku,normalize_listings.py,canonical_extract,3170,253,0,3423,0.004435,2651,t,""
2026-04-20 20:21:10.469376+00,claude-haiku,normalize_listings.py,canonical_extract,3173,253,0,3426,0.004438,2609,t,""
2026-04-20 20:21:14.194345+00,claude-haiku,normalize_listings.py,canonical_extract,3166,242,0,3408,0.004376,2685,t,""
2026-04-20 20:21:17.964245+00,claude-haiku,normalize_listings.py,canonical_extract,3156,246,0,3402,0.004386,2738,t,""
2026-04-20 20:21:21.678204+00,claude-haiku,normalize_listings.py,canonical_extract,3153,233,0,3386,0.004318,2664,t,""
2026-04-20 20:21:25.117753+00,claude-haiku,normalize_listings.py,canonical_extract,3174,239,0,3413,0.004369,2374,t,""
2026-04-20 20:21:28.460906+00,claude-haiku,normalize_listings.py,canonical_extract,3177,236,0,3413,0.004357,2293,t,""
2026-04-20 20:21:31.999284+00,claude-haiku,normalize_listings.py,canonical_extract,3147,233,0,3380,0.004312,2498,t,""
2026-04-20 20:21:35.68267+00,claude-haiku,normalize_listings.py,canonical_extract,3035,248,0,3283,0.004275,2629,t,""
2026-04-20 20:21:39.124594+00,claude-haiku,normalize_listings.py,canonical_extract,3143,245,0,3388,0.004368,2386,t,""
2026-04-20 20:21:42.807017+00,claude-haiku,normalize_listings.py,canonical_extract,3138,234,0,3372,0.004308,2646,t,""
2026-04-20 20:21:47.526507+00,claude-haiku,normalize_listings.py,canonical_extract,3174,248,0,3422,0.004414,3687,t,""
2026-04-20 20:21:51.043672+00,claude-haiku,normalize_listings.py,canonical_extract,3153,239,0,3392,0.004348,2487,t,""
2026-04-20 20:21:54.681104+00,claude-haiku,normalize_listings.py,canonical_extract,3146,251,0,3397,0.004401,2609,t,""
2026-04-20 20:21:58.308812+00,claude-haiku,normalize_listings.py,canonical_extract,3033,235,0,3268,0.004208,2592,t,""
2026-04-20 20:22:01.736882+00,claude-haiku,normalize_listings.py,canonical_extract,3187,244,0,3431,0.004407,2389,t,""
2026-04-20 20:22:05.47165+00,claude-haiku,normalize_listings.py,canonical_extract,3150,241,0,3391,0.004355,2695,t,""
2026-04-20 20:22:09.272632+00,claude-haiku,normalize_listings.py,canonical_extract,3201,242,0,3443,0.004411,2768,t,""
2026-04-20 20:22:13.064207+00,claude-haiku,normalize_listings.py,canonical_extract,3151,240,0,3391,0.004351,2762,t,""
2026-04-20 20:22:16.764229+00,claude-haiku,normalize_listings.py,canonical_extract,3119,237,0,3356,0.004304,2670,t,""
2026-04-20 20:22:20.320924+00,claude-haiku,normalize_listings.py,canonical_extract,3179,241,0,3420,0.004384,2527,t,""
2026-04-20 20:22:23.799265+00,claude-haiku,normalize_listings.py,canonical_extract,3164,244,0,3408,0.004384,2453,t,""
2026-04-20 20:22:27.352356+00,claude-haiku,normalize_listings.py,canonical_extract,2600,248,0,2848,0.003840,2524,t,""
2026-04-20 20:22:30.868607+00,claude-haiku,normalize_listings.py,canonical_extract,3160,238,0,3398,0.004350,2489,t,""
2026-04-20 20:22:34.311857+00,claude-haiku,normalize_listings.py,canonical_extract,2522,236,0,2758,0.003702,2410,t,""
2026-04-20 20:22:37.906092+00,claude-haiku,normalize_listings.py,canonical_extract,3060,237,0,3297,0.004245,2555,t,""
2026-04-20 20:22:41.317728+00,claude-haiku,normalize_listings.py,canonical_extract,3147,242,0,3389,0.004357,2377,t,""
2026-04-20 20:22:44.920845+00,claude-haiku,normalize_listings.py,canonical_extract,3129,233,0,3362,0.004294,2578,t,""
2026-04-20 20:22:48.67691+00,claude-haiku,normalize_listings.py,canonical_extract,3163,240,0,3403,0.004363,2726,t,""
2026-04-20 20:22:52.38766+00,claude-haiku,normalize_listings.py,canonical_extract,3176,247,0,3423,0.004411,2676,t,""
2026-04-20 20:22:56.071636+00,claude-haiku,normalize_listings.py,canonical_extract,3171,250,0,3421,0.004421,2657,t,""
2026-04-20 20:22:59.762969+00,claude-haiku,normalize_listings.py,canonical_extract,3198,248,0,3446,0.004438,2662,t,""
2026-04-20 20:23:03.364685+00,claude-haiku,normalize_listings.py,canonical_extract,2535,240,0,2775,0.003735,2574,t,""
2026-04-20 20:23:06.913678+00,claude-haiku,normalize_listings.py,canonical_extract,3163,236,0,3399,0.004343,2518,t,""
2026-04-20 20:23:10.672865+00,claude-haiku,normalize_listings.py,canonical_extract,3183,242,0,3425,0.004393,2731,t,""
2026-04-20 20:23:14.319649+00,claude-haiku,normalize_listings.py,canonical_extract,3175,250,0,3425,0.004425,2618,t,""
2026-04-20 20:23:18.05375+00,claude-haiku,normalize_listings.py,canonical_extract,3167,251,0,3418,0.004422,2704,t,""
2026-04-20 20:23:21.895746+00,claude-haiku,normalize_listings.py,canonical_extract,3173,246,0,3419,0.004403,2815,t,""
2026-04-20 20:23:25.474268+00,claude-haiku,normalize_listings.py,canonical_extract,3165,233,0,3398,0.004330,2549,t,""
2026-04-20 20:23:29.059842+00,claude-haiku,normalize_listings.py,canonical_extract,3157,244,0,3401,0.004377,2553,t,""
2026-04-20 20:23:32.679697+00,claude-haiku,normalize_listings.py,canonical_extract,3189,236,0,3425,0.004369,2591,t,""
2026-04-20 20:23:36.821716+00,claude-haiku,normalize_listings.py,canonical_extract,3188,249,0,3437,0.004433,3115,t,""
2026-04-20 20:23:40.716634+00,claude-haiku,normalize_listings.py,canonical_extract,3068,235,0,3303,0.004243,2865,t,""
2026-04-20 20:23:44.737081+00,claude-haiku,normalize_listings.py,canonical_extract,3082,235,0,3317,0.004257,2982,t,""
2026-04-20 20:23:48.489687+00,claude-haiku,normalize_listings.py,canonical_extract,3181,246,0,3427,0.004411,2722,t,""
2026-04-20 20:23:51.911662+00,claude-haiku,normalize_listings.py,canonical_extract,3059,248,0,3307,0.004299,2390,t,""
2026-04-20 20:23:55.344054+00,claude-haiku,normalize_listings.py,canonical_extract,3034,242,0,3276,0.004244,2395,t,""
2026-04-20 20:23:59.124785+00,claude-haiku,normalize_listings.py,canonical_extract,3099,235,0,3334,0.004274,2733,t,""
2026-04-20 20:24:02.854275+00,claude-haiku,normalize_listings.py,canonical_extract,3068,245,0,3313,0.004293,2696,t,""
2026-04-20 20:24:08.498545+00,claude-haiku,normalize_listings.py,canonical_extract,3193,240,0,3433,0.004393,4614,t,""
2026-04-20 20:24:12.066898+00,claude-haiku,normalize_listings.py,canonical_extract,3072,241,0,3313,0.004277,2539,t,""
2026-04-20 20:24:16.682845+00,claude-haiku,normalize_listings.py,canonical_extract,3202,244,0,3446,0.004422,3586,t,""
2026-04-20 20:24:20.479432+00,claude-haiku,normalize_listings.py,canonical_extract,3076,249,0,3325,0.004321,2768,t,""
2026-04-20 20:24:24.056295+00,claude-haiku,normalize_listings.py,canonical_extract,3077,237,0,3314,0.004262,2537,t,""
2026-04-20 20:24:27.796912+00,claude-haiku,normalize_listings.py,canonical_extract,3168,236,0,3404,0.004348,2696,t,""
2026-04-20 20:24:31.507515+00,claude-haiku,normalize_listings.py,canonical_extract,3184,251,0,3435,0.004439,2679,t,""
2026-04-20 20:24:35.048948+00,claude-haiku,normalize_listings.py,canonical_extract,3156,247,0,3403,0.004391,2513,t,""
2026-04-20 20:24:38.701673+00,claude-haiku,normalize_listings.py,canonical_extract,3160,245,0,3405,0.004385,2622,t,""
2026-04-20 20:24:42.473037+00,claude-haiku,normalize_listings.py,canonical_extract,3176,243,0,3419,0.004391,2727,t,""
2026-04-20 20:24:46.138844+00,claude-haiku,normalize_listings.py,canonical_extract,3180,245,0,3425,0.004405,2626,t,""
2026-04-20 20:24:49.776281+00,claude-haiku,normalize_listings.py,canonical_extract,3164,236,0,3400,0.004344,2607,t,""
2026-04-20 20:24:53.478705+00,claude-haiku,normalize_listings.py,canonical_extract,3166,240,0,3406,0.004366,2673,t,""
2026-04-20 20:24:57.135974+00,claude-haiku,normalize_listings.py,canonical_extract,3183,242,0,3425,0.004393,2627,t,""
2026-04-20 20:25:01.012455+00,claude-haiku,normalize_listings.py,canonical_extract,3177,254,0,3431,0.004447,2845,t,""
2026-04-20 20:25:04.62272+00,claude-haiku,normalize_listings.py,canonical_extract,3169,243,0,3412,0.004384,2569,t,""
2026-04-20 20:25:08.435487+00,claude-haiku,normalize_listings.py,canonical_extract,3173,243,0,3416,0.004388,2782,t,""
2026-04-20 20:25:12.271496+00,claude-haiku,normalize_listings.py,canonical_extract,3197,250,0,3447,0.004447,2809,t,""
2026-04-20 20:25:16.015196+00,claude-haiku,normalize_listings.py,canonical_extract,3070,248,0,3318,0.004310,2712,t,""
2026-04-20 20:25:20.447043+00,claude-haiku,normalize_listings.py,canonical_extract,3070,248,0,3318,0.004310,3403,t,""
2026-04-20 20:25:29.186812+00,claude-haiku,normalize_listings.py,canonical_extract,3153,237,0,3390,0.004338,7706,t,""
2026-04-20 20:25:32.955321+00,claude-haiku,normalize_listings.py,canonical_extract,3170,246,0,3416,0.004400,2743,t,""
2026-04-20 20:25:36.383138+00,claude-haiku,normalize_listings.py,canonical_extract,3056,231,0,3287,0.004211,2399,t,""
2026-04-20 20:25:40.360353+00,claude-haiku,normalize_listings.py,canonical_extract,3150,230,0,3380,0.004300,2949,t,""
2026-04-20 20:25:43.833118+00,claude-haiku,normalize_listings.py,canonical_extract,3161,244,0,3405,0.004381,2445,t,""
2026-04-20 20:25:47.439748+00,claude-haiku,normalize_listings.py,canonical_extract,3169,231,0,3400,0.004324,2574,t,""
2026-04-20 20:25:51.285283+00,claude-haiku,normalize_listings.py,canonical_extract,3082,245,0,3327,0.004307,2816,t,""
2026-04-20 20:25:55.03913+00,claude-haiku,normalize_listings.py,canonical_extract,3196,245,0,3441,0.004421,2718,t,""
2026-04-20 20:25:58.732718+00,claude-haiku,normalize_listings.py,canonical_extract,3183,248,0,3431,0.004423,2665,t,""
2026-04-20 20:26:02.694137+00,claude-haiku,normalize_listings.py,canonical_extract,3206,242,0,3448,0.004416,2928,t,""
2026-04-20 20:26:06.446877+00,claude-haiku,normalize_listings.py,canonical_extract,3168,250,0,3418,0.004418,2719,t,""
2026-04-20 20:26:10.59722+00,claude-haiku,normalize_listings.py,canonical_extract,3077,270,0,3347,0.004427,3120,t,""
2026-04-20 20:26:14.586128+00,claude-haiku,normalize_listings.py,canonical_extract,3207,243,0,3450,0.004422,2952,t,""
2026-04-20 20:26:18.513397+00,claude-haiku,normalize_listings.py,canonical_extract,3197,263,0,3460,0.004512,2886,t,""
2026-04-20 20:26:22.414734+00,claude-haiku,normalize_listings.py,canonical_extract,3214,249,0,3463,0.004459,2870,t,""
2026-04-20 20:26:26.143866+00,claude-haiku,normalize_listings.py,canonical_extract,3178,250,0,3428,0.004428,2702,t,""
2026-04-20 20:26:29.917615+00,claude-haiku,normalize_listings.py,canonical_extract,3188,242,0,3430,0.004398,2744,t,""
2026-04-20 20:26:33.731619+00,claude-haiku,normalize_listings.py,canonical_extract,3212,248,0,3460,0.004452,2783,t,""
2026-04-20 20:26:37.474123+00,claude-haiku,normalize_listings.py,canonical_extract,3181,243,0,3424,0.004396,2714,t,""
2026-04-20 20:26:41.089824+00,claude-haiku,normalize_listings.py,canonical_extract,3179,244,0,3423,0.004399,2586,t,""
2026-04-20 20:26:44.822723+00,claude-haiku,normalize_listings.py,canonical_extract,3158,233,0,3391,0.004323,2700,t,""
2026-04-20 20:26:48.53201+00,claude-haiku,normalize_listings.py,canonical_extract,3196,238,0,3434,0.004386,2682,t,""
2026-04-20 20:26:52.283137+00,claude-haiku,normalize_listings.py,canonical_extract,3196,247,0,3443,0.004431,2718,t,""
2026-04-20 20:26:55.854158+00,claude-haiku,normalize_listings.py,canonical_extract,3198,236,0,3434,0.004378,2532,t,""
2026-04-20 20:26:59.858466+00,claude-haiku,normalize_listings.py,canonical_extract,3215,256,0,3471,0.004495,2975,t,""
2026-04-20 20:27:03.590267+00,claude-haiku,normalize_listings.py,canonical_extract,3200,245,0,3445,0.004425,2697,t,""
2026-04-20 20:27:07.323616+00,claude-haiku,normalize_listings.py,canonical_extract,3161,244,0,3405,0.004381,2706,t,""
2026-04-20 20:27:10.955927+00,claude-haiku,normalize_listings.py,canonical_extract,3164,231,0,3395,0.004319,2605,t,""
2026-04-20 20:27:14.310844+00,claude-haiku,normalize_listings.py,canonical_extract,3149,232,0,3381,0.004309,2324,t,""
2026-04-20 20:27:17.851351+00,claude-haiku,normalize_listings.py,canonical_extract,3174,254,0,3428,0.004444,2510,t,""
2026-04-20 20:27:21.381025+00,claude-haiku,normalize_listings.py,canonical_extract,3142,247,0,3389,0.004377,2502,t,""
2026-04-20 20:27:24.711289+00,claude-haiku,normalize_listings.py,canonical_extract,2533,244,0,2777,0.003753,2297,t,""
2026-04-20 20:27:28.285903+00,claude-haiku,normalize_listings.py,canonical_extract,3128,232,0,3360,0.004288,2544,t,""
2026-04-20 20:27:31.906974+00,claude-haiku,normalize_listings.py,canonical_extract,3133,249,0,3382,0.004378,2591,t,""
2026-04-20 20:27:35.560229+00,claude-haiku,normalize_listings.py,canonical_extract,3174,245,0,3419,0.004399,2620,t,""
2026-04-20 20:27:38.844235+00,claude-haiku,normalize_listings.py,canonical_extract,2371,237,0,2608,0.003556,2255,t,""
2026-04-20 20:27:42.729554+00,claude-haiku,normalize_listings.py,canonical_extract,3143,237,0,3380,0.004328,2856,t,""
2026-04-20 20:27:46.388556+00,claude-haiku,normalize_listings.py,canonical_extract,3111,248,0,3359,0.004351,2628,t,""
2026-04-20 20:27:51.040868+00,claude-haiku,normalize_listings.py,canonical_extract,3142,233,0,3375,0.004307,3618,t,""
2026-04-20 20:27:54.809323+00,claude-haiku,normalize_listings.py,canonical_extract,3186,244,0,3430,0.004406,2728,t,""
2026-04-20 20:27:58.281346+00,claude-haiku,normalize_listings.py,canonical_extract,2463,235,0,2698,0.003638,2436,t,""
2026-04-20 20:28:01.803541+00,claude-haiku,normalize_listings.py,canonical_extract,3183,248,0,3431,0.004423,2479,t,""
2026-04-20 20:28:05.294408+00,claude-haiku,normalize_listings.py,canonical_extract,3178,243,0,3421,0.004393,2436,t,""
2026-04-20 20:28:08.542037+00,claude-haiku,normalize_listings.py,canonical_extract,2517,234,0,2751,0.003687,2209,t,""
2026-04-20 20:28:11.994851+00,claude-haiku,normalize_listings.py,canonical_extract,3171,237,0,3408,0.004356,2417,t,""
2026-04-20 20:28:15.965411+00,claude-haiku,normalize_listings.py,canonical_extract,3130,239,0,3369,0.004325,2927,t,""
2026-04-20 20:28:19.743246+00,claude-haiku,normalize_listings.py,canonical_extract,3154,250,0,3404,0.004404,2741,t,""
2026-04-20 20:28:23.485911+00,claude-haiku,normalize_listings.py,canonical_extract,3174,246,0,3420,0.004404,2714,t,""
2026-04-20 20:28:27.798163+00,claude-haiku,normalize_listings.py,canonical_extract,3141,243,0,3384,0.004356,3278,t,""
2026-04-20 20:28:32.189099+00,claude-haiku,normalize_listings.py,canonical_extract,3143,232,0,3375,0.004303,3364,t,""
2026-04-20 20:28:36.177281+00,claude-haiku,normalize_listings.py,canonical_extract,3152,232,0,3384,0.004312,2963,t,""
2026-04-20 20:28:40.14928+00,claude-haiku,normalize_listings.py,canonical_extract,3157,242,0,3399,0.004367,2942,t,""
2026-04-20 20:28:43.668855+00,claude-haiku,normalize_listings.py,canonical_extract,3171,244,0,3415,0.004391,2486,t,""
2026-04-20 20:28:47.498919+00,claude-haiku,normalize_listings.py,canonical_extract,3179,249,0,3428,0.004424,2790,t,""
2026-04-20 20:28:50.92593+00,claude-haiku,normalize_listings.py,canonical_extract,2489,236,0,2725,0.003669,2393,t,""
2026-04-20 20:28:54.45641+00,claude-haiku,normalize_listings.py,canonical_extract,3184,243,0,3427,0.004399,2501,t,""
2026-04-20 20:28:57.951273+00,claude-haiku,normalize_listings.py,canonical_extract,3145,228,0,3373,0.004285,2464,t,""
2026-04-20 20:29:02.021084+00,claude-haiku,normalize_listings.py,canonical_extract,3171,244,0,3415,0.004391,3039,t,""
2026-04-20 20:29:05.253187+00,claude-haiku,normalize_listings.py,canonical_extract,2462,235,0,2697,0.003637,2202,t,""
2026-04-20 20:29:08.79849+00,claude-haiku,normalize_listings.py,canonical_extract,3188,231,0,3419,0.004343,2518,t,""
2026-04-20 20:29:12.687643+00,claude-haiku,normalize_listings.py,canonical_extract,3111,238,0,3349,0.004301,2860,t,""
2026-04-20 20:29:16.249394+00,claude-haiku,normalize_listings.py,canonical_extract,3173,253,0,3426,0.004438,2529,t,""
2026-04-20 20:29:20.881292+00,claude-haiku,normalize_listings.py,canonical_extract,3136,243,0,3379,0.004351,3605,t,""
2026-04-20 23:55:51.612889+00,claude-haiku,normalize_listings.py,canonical_extract,3076,290,0,3366,0.004526,3469,t,""
2026-04-20 23:55:55.530276+00,claude-haiku,normalize_listings.py,canonical_extract,3178,247,0,3425,0.004413,2876,t,""
2026-04-20 23:55:59.200718+00,claude-haiku,normalize_listings.py,canonical_extract,3176,239,0,3415,0.004371,2644,t,""
2026-04-20 23:56:02.917396+00,claude-haiku,normalize_listings.py,canonical_extract,3181,244,0,3425,0.004401,2687,t,""
2026-04-20 23:56:06.537797+00,claude-haiku,normalize_listings.py,canonical_extract,3170,255,0,3425,0.004445,2590,t,""
2026-04-20 23:56:09.902257+00,claude-haiku,normalize_listings.py,canonical_extract,3133,237,0,3370,0.004318,2335,t,""
2026-04-20 23:56:13.922385+00,claude-haiku,normalize_listings.py,canonical_extract,2523,234,0,2757,0.003693,2991,t,""
2026-04-20 23:56:17.40517+00,claude-haiku,normalize_listings.py,canonical_extract,3185,239,0,3424,0.004380,2454,t,""
2026-04-20 23:56:20.862334+00,claude-haiku,normalize_listings.py,canonical_extract,3167,245,0,3412,0.004392,2430,t,""
2026-04-20 23:56:24.872604+00,claude-haiku,normalize_listings.py,canonical_extract,3181,245,0,3426,0.004406,2980,t,""
2026-04-20 23:56:28.553276+00,claude-haiku,normalize_listings.py,canonical_extract,3166,247,0,3413,0.004401,2651,t,""
2026-04-20 23:56:32.125237+00,claude-haiku,normalize_listings.py,canonical_extract,3183,247,0,3430,0.004418,2538,t,""
2026-04-20 23:56:35.588518+00,claude-haiku,normalize_listings.py,canonical_extract,3169,232,0,3401,0.004329,2434,t,""
2026-04-20 23:56:39.226489+00,claude-haiku,normalize_listings.py,canonical_extract,3161,245,0,3406,0.004386,2610,t,""
2026-04-20 23:56:42.888895+00,claude-haiku,normalize_listings.py,canonical_extract,3177,241,0,3418,0.004382,2636,t,""
2026-04-20 23:56:46.384971+00,claude-haiku,normalize_listings.py,canonical_extract,3174,241,0,3415,0.004379,2460,t,""
2026-04-20 23:56:50.040538+00,claude-haiku,normalize_listings.py,canonical_extract,3163,239,0,3402,0.004358,2627,t,""
2026-04-20 23:56:53.562672+00,claude-haiku,normalize_listings.py,canonical_extract,3169,239,0,3408,0.004364,2496,t,""
2026-04-20 23:56:57.471705+00,claude-haiku,normalize_listings.py,canonical_extract,3056,247,0,3303,0.004291,2871,t,""
2026-04-20 23:57:01.490867+00,claude-haiku,normalize_listings.py,canonical_extract,3178,245,0,3423,0.004403,2975,t,""
2026-04-20 23:57:05.028198+00,claude-haiku,normalize_listings.py,canonical_extract,3180,243,0,3423,0.004395,2504,t,""
2026-04-20 23:57:09.126623+00,claude-haiku,normalize_listings.py,canonical_extract,3148,243,0,3391,0.004363,3071,t,""
